'A test design technique is | a process for selecting test cases',
'When should we stop testing? | it depends on the risks for the system being tested',
'How much testing is enough? | The answer depends on the risk for your industry, contract and special requirements',
'Test cases are designed during: | test specification',
'The difference between re-testing and regression testing is: | re-testing is running a test again; regression testing looks for unexpected side effects',
'Which of the following is a requirement of an effective software environment? I. Ease of use II. Capacity for incremental implementation III. Capability of evolving with the needs of a project IV. Inclusion of advanced tools | I, II &III',
'When what is visible to end-users is a deviation from the specific or expected behavior, this is called: | a failure',
'Which is not a testing principle | Exhaustive testing',
'Which one of the following describes the major benefit of verification early in the life cycle? | It reduces defect multiplication',
'The cost of fixing a fault: | Increases as we move the product towards live use',
'Expected results are: | derived from the code',
'A failure is: | deviation from specified behaviour',
'Which of the following is true of the V-model? | It includes the verification of designs',
'Independent Verification & Validation is | Done by an Entity Outside the Project's sphere of influence',
'Which one of the following are non-functional testing methods? | Both b & c',
'which of the following statements is not true | Verification activities should not involve testers (reviews, inspections etc)',
'One Key reason why developers have difficulty testing their own work is : | Lack of objectivity',
'Which of the following functions is typically supported by a software quality information system? I. Record keeping II. System design III. Evaluation scheduling IV. Error reporting | I, III &IV',
'What is the main reason for testing software before releasing it? | to give information for a risk based decision about release',
'Which of the following should NOT normally be an objective for a test? | To prove that the software is correct',
'Which of these activities provides the biggest potential cost saving from the use of CAST? | Test execution',
'Enough testing has been performed when: | the required level of confidence has been achieved',
'When should we run regression tests? Choose TWO Answers. | 2. after the software has changed & 4. when the environment has changed',
'Which is not the fundamental test process | None',
'The oracle assumption: | is that the tester can routinely identify the correct outcome of a test',
'Consider the following statements about early test design: i. early test design can prevent fault multiplication ii. faults found during early test design are more expensive to fix iii. early test design can find faults iv. early test design can cause changes to the requirements v. early test design takes more effort | i, iii & iv are true. Ii & v are false',
'We split testing into distinct stages primarily because: | Each test stage has a different purpose.',
'From the below given choices, which one is the Confidence testing | Smoke testing',
'To test a function, the programmer has to write a _________, which calls the function to be tested and passes it test data. | Driver',
'Poor software characteristics are | Only Product risks',
'In which order should tests be run? | the most important tests first',
'In practice, which Life Cycle model may have more, fewer or different levels of development and testing, depending on the project and the software product. For example, there may be component integration testing after component testing, and system integration testing after system testing. | V-Model',
'The most important thing about early test design is that it: | can prevent fault multiplication',
'Which is not a test Oracle | The code',
'Pick the best definition of quality | Conformance to requirements',
'Error guessing is best used: | After more formal techniques have been applied',
'A test harness is a | A test environment comprised of stubs and drives needed to conduct a test',
'What statement about expected outcomes is FALSE: | expected outcomes are defined by the softwareâ€™s behaviour',
'Which of the following requirements is testable? | The response time shall be less than one second for the specified design load',
'Non-functional system testing includes: | testing quality attributes of the system including performance and usability',
'Code Coverage is used as a measure of what? | Test Effectiveness',
'Which of the following techniques is NOT a black box technique? | LCSAJ',
